	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
92	Johannesburg	Johannesburg	Johannesburg				South Africa	3585545.0	2448436.0								1644.96		2179.715616185196	2962.0		88405.13802395621		37.0		FAJS	114.0	668.0	0.95	0.87	42.04	3.37	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (3888182/1165014)	59.256	0.0	Mountains	15170.409162975702	5136.54	
93	Jönköping	Jönköping					Sweden	120965.0											1815.37959583658					120.18214524862564		ESGJ	11.0	3512.0	1.52	1.38	-999.0	2.14	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (128305/59749)	84.319	1.0	Large Lake	28388.489077490776		
94	Karlstad	Karlstad					Sweden	82096.0											1784.61257127315					105.87396706295071		ESOK	13.0	3554.0	1.52	1.38	-999.0	1.95	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (86409/44250)	84.319	1.0	-999	27059.666184501843		
95	Kent CC	Kent CC					United Kingdom	1383400.0									3544.0		390.34988713318285			23238.115970535244		102.6705977254082		EGMC	11.0	1855.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	28136.655739213256		
96	King Sabata	King Sabata 					South Africa	421233.0									3027.0		139.1585728444004			7656.251244242532		13.000000000000002		FAUT	261.0	599.0	0.95	0.87	-999.0	4.76	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (444832/93385)	59.256	1.0	Municipality is near coast	2895.7682036186966		
97	Kingston upon Hull	Kingston upon Hull, City of					United Kingdom	256000.0									71.45		3582.925122463261			30285.78596223969		90.67978159060516		3292	0.0	2161.0	1.65	1.44	-999.0	2.25	2004.0	http://www.urbanaudit.org	-999	79.007	-999.0	-999	29422.855301975844		
98	Bangkok	Krung Thep (Bangkok)	Bangkok	Bangkok 	City 	2005.0	Thailand	5658953.0	6685000.0	5658953.0	2005.0	1360000.0	5888000.0	8213000.0	1.03042419721768	1.0167793116589317	1568.737	1568.737	3607.3306105484858	13869.0	3607.3306105484858	142876.57043950623	142876.57043950623	104.61243725756336	7.5	VTBS	2064.0	0.0	0.64	0.87	48.23	3.64	2000.0	http://web.nso.go.th/en/census/poph/indiregion/indi_whole.htm	Calculation: pop/household (6355144/1743752)	32.241	1.0	(slightly removed)	13520.87136394904	6316.49	8169.964368657078
99	Kunming	Kunming					China	5143000.000000001											300.0					67.05599421514654		ZPPP	104.0	718.0	1.01	0.99	-999.0	3.79	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Yunnan"""	42.522	1.0	Mountains, Lake	6804.250123237967		
100	Kiev	Kyiv (Kiev)					Ukraine	2700000.0									839.0		3218.1168057210966			93214.35176756293		87.16		UKKK	136.0	2918.0	0.96	0.88	-999.0	2.65	2010.0	http://ukrstat.org/en/druk/katalog/kat_e/publ2_e.htm	Calculation:pop/household (2785/1049.9) First added Kyiv households: (360,4+689,5)	67.79	0.0	Large River	4902.0		
101	Kyoto	Kyoto					Japan	1470000.0									827.9		1775.5767604783186			51089.116628721706		72.50038095238095		RJOO	503.0	1214.0	1.3	1.42	-999.0			-999	pop only	85.978	0.0	Mountains, near lake	31097.545630834567		
